area,file_name,minister,ministry
temerloh,20150518_20150618_S401_S500_soalan-408_1439717434.txt,Nasrudin Bin Hassan,menteri luar negeri
serdang,20150611_Parliamentary_Reply_soalan-20.txt,Ong Kian Ming,menteri pendidikan
,Oct_Bertulis_Soalan_1-100_soalan-63.txt,,menteri kewangan
kampar,20151019_DR_JawabLisan_soalan-48.txt,Ko Chung Sen,menteri kewangan
pendang,20150326_Parliamentary_Reply_soalan-52.txt,Othman Bin Abdul,perdana menteri
taiping,20140319_51-70_soalan-58.txt,Nga Kor Ming,menteri kewangan
tebrau,20140331_1-30_soalan-17.txt,Khoo Soo Seang,menteri sumber manusia
alor gajah,20140403_1-36_soalan-9.txt,Koh Nai Kwong,menteri perdagangan dalam negeri koperasi dan kepenggunaan
kota samarahan,Oct_Bertulis_Soalan_101-200_soalan-177.txt,Rubiah Wang,menteri pembangunan wanita keluarga dan masyarakat
bagan,20140618_soalan-20.txt,Lim Guan Eng,menteri kewangan
,Mar-Apr_2015_SoalanBertulis_101-200_soalan-199.txt,,menteri kemajuan luar bandar dan wilayah
,20150518_20150618_S501_S540_soalan-529.txt,,menteri tenaga teknologi hijau dan air
,Parliamentary_Reply_*.txt,,
tasek gelugor,Mar-Apr_2015_SoalanBertulis_1-100_soalan-42.txt,,menteri pertahanan
rasah,20140617_soalan-45.txt,Teo Kok Seong,menteri kewangan
lipis 1,Oct_Bertulis_Soalan_1-100_soalan-73.txt,Mohamad Abdul Rahman,menteri kewangan
lembah pantai,20150331_Parliamentary_Reply_soalan-57.txt,Nurul Izzah Anwar,menteri kewangan
telok kemang,20150518_20150618_S501_S540_soalan-515_1439717438.txt,Kamarul Baharin Abbas,menteri perdagangan dalam negeri koperasi dan kepenggunaan
,Soalan_08-55_Oct_13_soalan-24.txt,,menteri kesihatan
stampin 1,20140325_61-76_soalan-68.txt,Julian Tan Kok Ping,menteri dalam negeri
kelana java,Oct_Bertulis_Soalan_501-569_soalan-506.txt,Wong Chen,menteri kewangan
